INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	INT
200184	Phong xuy li­u hoa mãn tØu hß½ng, ___________. Kim lång tØ ğ® lai tß½ng t¯ng, døc hành b¤t hành các t§n thß½ng. Thïnh quân thí v¤n ğông lßu thuÖ, bi®t ı dæ chi thuÏ ğoän trß¶ng	Tanh xuân tác bÕn häo hoàn hß½ng	MÕn quy¬n thi thß hï døc cu°ng	Ngô c½ áp tØu hoán khách thß·ng	#	#	#	-1	-1	1	-1	-1	-1	C± thi ğ¯i cú	3
200185	Tích nhân dî th×a hoàng hÕc khÑ, thØ ğ¸a không dß hoàng hÕc lâu. Hoàng hÕc nh¤t khÑ b¤t phøc phän, ____________	BÕch vân thiên täi không du du	CØ bôi tiêu s¥u s¥u canh s¥u	Yên ba giang thßşng sÑ nhân s¥u	#	#	#	1	-1	-1	-1	-1	-1	C± thi ğ¯i cú	3
200186	Bích vân thiên, ____di®p ğ¸a. Thu s¡c liên ba, ba thßşng hàn yên thuı	H°ng	Hoàng	Løc	#	#	#	-1	1	-1	-1	-1	-1	C± thi ğ¯i cú	3
200187	Ch¤p thü tß½ng khán ____, cánh vô ngæ ngßng ª	M£t cß¶i	L® nhãn	Tiªu nhan	#	#	#	-1	1	-1	-1	-1	-1	C± thi ğ¯i cú	3
200188	Minh nguy®t Kí th¶i hæu, bä tØu v¤n ____	Thßşng thiên	Thß½ng thiên	Thanh thiên	#	#	#	-1	-1	1	-1	-1	-1	C± thi ğ¯i cú	3
200189	Nhân hæu bi hoan li bi®t, nguy®t hæu ______, thØ sñ c± nan toàn	Âm tinh viên khuyªt	Âm tinh khuyªt viên	Tinh âm viên khuyªt	#	#	#	1	-1	-1	-1	-1	-1	C± thi ğ¯i cú	3
200190	ĞÕi giang _____ khÑ, lang ğào t§n, thiên c± phong lßu nhân v§t	Nam	Tây	Ğông	#	#	#	-1	-1	1	-1	-1	-1	C± thi ğ¯i cú	3
200191	Li®u tiêu xuân phong xuy tØu tÖnh. Vi lãnh. S½n ğ¥u tà chiªu khß¾c tß½ng nghênh. H°i ğ¥u hß¾ng lai tiêu sái xÑ. ______________. Dã vô phong vû dã vô tinh	Quy lai	Quy khÑ	Quy hß½ng	#	#	#	1	-1	-1	-1	-1	-1	C± thi ğ¯i cú	3
200192	Nhu tình tñ thuÖ, giai kÏ nhß mµng, nhçn c¯ thß¾c ki«u quy lµ. LßŞng tình nhßşc th¸ cØu trß¶ng th¶i, hñu khï tÕi	Tri«u tri«u mµ mµ	Mµ mµ tri«u tri«u	Tri«u tam mµ tÑ	#	#	#	1	-1	-1	-1	-1	-1	C± thi ğ¯i cú	3
200193	Thß¶ng Kí khê ğình nh§t mµ. Th¦m tuı b¤t tri quy lô. Hßng t§n vãn h°i châu, ngµ nh§p ngçu hoa thâm xÑ. Tranh ğµ. Tranh ğµ. Kinh kh·i nh¤t than__________	BÕch Lµ	Âu lµ	Uyên ß½ng	#	#	#	-1	1	-1	-1	-1	-1	C± thi ğ¯i cú	3
200194	Hoa tñ phiêu linh thuÖ tñ lßu. Nh¤t chüng tß½ng tß, lßŞng xÑ nhàn s¥u. ThØ tình vô kª khä tiêu tr×, tài hÕ mi ğ¥u, ______	Khß¾c thßşng tâm ğ¥u	Hñu thßşng tâm ğ¥u	Hñu hÕ tâm ğ¥u	#	#	#	1	-1	-1	-1	-1	-1	C± thi ğ¯i cú	3
200195	T¥m t¥m m§t m§t, lãnh lãnh thanh thanh, thê thê thäm thäm ______	KÏ kÏ	Thê thê	Thích thích	#	#	#	-1	-1	1	-1	-1	-1	C± thi ğ¯i cú	3
200196	H°ng tô thü. Hoàng ğ¢ng tØu. Mãn thành xuân s¡c cung tß¶ng li­u. __________. Hoan tình bÕc. Nh¤t b¯i s¥u tñ, kÖ niên li sách. Thác thác thác	Ğông phong ác	Tây phong ác	B¡c phong ác	#	#	#	1	-1	-1	-1	-1	-1	C± thi ğ¯i cú	3
200197	Mã tác ğích lß phi khoái, cung nhß t¸ch l¸ch huy«n kinh. Li­u khß¾c quân vß½ng thiên hÕ sñ, ____________	Doanh ğ¡c sinh ti«n thân h§u danh	Doanh ğ¡c thân ti«n sinh h§u danh	Doanh ğ¡c sinh ti«n sinh h§u danh	#	#	#	1	-1	-1	-1	-1	-1	C± thi ğ¯i cú	3
200198	Nguyên gia thäo thäo, phong lang cß, doanh ğ¡c thß½ng hoàng b¡c c¯. TÑ th§p tam niên, v÷ng trung do Kí, phong hoä dß½ng châu lµ. Khä kham h°i thü. Ph§t li t× hÕ, nh¤t phiªn th¥n áp xã c±. B¢ng thuÏ v¤n, lêm pha lão hî, ___________	Thßşng nång phÕn phü	Thßşng nång ng§t phü	Thßşng nång hát phü	#	#	#	1	-1	-1	-1	-1	-1	C± thi ğ¯i cú	3
200199	Niên thiªu vÕn ğâu mâu. ToÕ ğoÕn Ğông Nam chiªt v¸ hßu. Thiên hÕ anh hùng thuÏ ğ¸ch nhân. Tào Lßu____________	Sinh tØ ğß½ng nhß Trß½ng Ngh® Mßu	Sinh tØ ğß½ng nhß Tôn Tr÷ng Mßu	Sinh tØ ğß½ng nhß Quan Vân Trß¶ng	#	#	#	-1	1	-1	-1	-1	-1	C± thi ğ¯i cú	3
200200	Hoa th¯n tàn h°ng_____ ti¬u. Yªn tØ phi th¶i, løc thuÖ nhân gia nhi­u. Chi thßşng li­u miên xuy hñu thiªu. Thiên nhai hà xÑ vô phß½ng thäo	Thanh hÕnh	Thanh mai	Thanh ğào	#	#	#	1	-1	-1	-1	-1	-1	C± thi ğ¯i cú	3
200201	Các triªt gia c± ğÕi trung qu¯c khi nghiên cÑu quan h® giæa th¶i gian và không gian ğã g÷i th¶i gian là gì?	Vû	Hşp	Trø	#	#	#	-1	-1	1	-1	-1	-1	TÕp ngh® bách khoa	3
200202	Các triªt gia c± ğÕi trung qu¯c khi nghiên cÑu quan h® giæa th¶i gian và không gian ğã g÷i không gian là gì?	Vû	Hşp	Trø	#	#	#	-1	1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200203	 Dî s· b¤t døc, v§t thi vu nhân bi¬u hi®n tß tß·ng triªt lı gì?	Vô vi nhi tr¸	ĞÕo kiêm hæu vô	Hoán v¸ tß khäo	#	#	#	-1	-1	1	-1	-1	-1	TÕp ngh® bách khoa	3
200204	 TØ soái chính chi, thøc cäm b¤t chính th¬ hi®n mµt nguyên t¡c làm vi®c nhß thª nào?	Bän thân làm trß¾c	Hoán v¸ tß khäo	Vô vi nhi tr¸	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200205	Nhà triªt gia nào cüa trung qu¯c l¤y " Vô vi " làm tß tß·ng chü ğÕo?	Kh±ng tØ	Trang tØ	Lão tØ	#	#	#	-1	-1	1	-1	-1	-1	TÕp ngh® bách khoa	4
200206	Nhà triªt gia nào cüa trung qu¯c l¤y " Nhân" làm tß tß·ng chü ğÕo?	Trang tØ	M£c tØ	Kh±ng tØ	#	#	#	-1	-1	1	-1	-1	-1	TÕp ngh® bách khoa	4
200207	Nhà triªt gia nào cüa trung qu¯c l¤y " Nghîa" làm tß tß·ng chü ğÕo?	Trang tØ	MÕnh tØ	M£c tØ	#	#	#	-1	1	-1	-1	-1	-1	TÕp ngh® bách khoa	4
200208	Thuyªt "Tuª tinh" mà các h÷c gia âm dß½ng c± ğÕi ğßa ra là chï hành tinh nào?	Kim tinh	Thüy tinh	Mµc tinh	#	#	#	-1	-1	1	-1	-1	-1	TÕp ngh® bách khoa	3
200209	Dß¾i ğây cái nào không thuµc vào h÷c thuyªt ngû tinh?	Kim	Ngân	Mµc	#	#	#	-1	1	-1	-1	-1	-1	TÕp ngh® bách khoa	4
200210	Nh¤t chu thiên là bao nhiêu nåm	10 nåm	20 nåm	50 nåm	#	#	#	-1	1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200211	Dß¾i ğây cái nào không thuµc h® tß tß·ng triªt h÷c trung qu¯c c± ğÕi?	Tiên T¥n triªt h÷c	LßŞng hán kinh h÷c	Thanh minh lı h÷c	#	#	#	-1	-1	1	-1	-1	-1	TÕp ngh® bách khoa	3
200212	Trong danh sách dß¾i ğây ngß¶i nào là triªt h÷c gia trung qu¯c c± ğÕi	Lão tØ	Tôn tØ	Nhi tØ	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200213	Mçu tßşng cüa tÑ tßşng là gì?	Thái Cñc	Bát quái	LßŞng nghi	#	#	#	-1	1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200214	Trung qu¯c có mµt bµ ği¬n t¸ch dung hşp nhæng ği¬m mÕnh cüa các h÷c thuyªt nho, m£c, pháp, binh, tên gì?	Lã Lãm	Xuân thu	Li Tao	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200215	Mçu tßşng cüa lßŞng nghi là gì?	Âm Dß½ng	Bát quái	TÑ Tßşng	#	#	#	-1	-1	1	-1	-1	-1	TÕp ngh® bách khoa	3
200216	Dß¾i ğây cái nào không thuµc vào phÕm trù "thu§t s¯" cüa trung qu¯c c± ğÕi?	 KÏ môn ğµn giáp 	Ma thu§t	Phß½ng lßşc tr¸ qu¯c	#	#	#	-1	1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200217	Nhæng døng cø nào dß¾i ğây không ğßşc các phù thuÖ dùng ğªn?	Mai rùa	Ti«n	C¥u løc s¡c	#	#	#	-1	-1	1	-1	-1	-1	TÕp ngh® bách khoa	3
200218	Dß¾i ğây không thuµc lái lßu bói tính là?	Hà ğ° lÕc thß	Mai hoa d¸ch s¯	Thái ¤t th¥n s¯	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200219	Ma y th¥n tß¾ng là cu¯n sách viªt v« gì?	Ti¬u thuyªt Võ hi®p	Tß¾ng di®n thu§t	Th×a tß¾ng	#	#	#	-1	1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200220	KÏ môn ğµn giáp có th¬ thông qua ch÷n lña gì ğ¬ chiªm ğoÕn hung cát?	Phß½ng v¸	Ån m£c	Ån u¯ng	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200221	Dß¾i ğây không thuµc tam kÏ cüa thu§t s¯ là?	Thái ¤t cØu cung	Løc Nhâm	Bát quái	#	#	#	-1	-1	1	-1	-1	-1	TÕp ngh® bách khoa	3
200222	Thôi b¯i ğ° là sách v« cái gì?	Phß½ng thu§t ğ¬ suy ğoán sñ thay ğ±i các tri«u ğÕi, tr¸ an xã hµi	Phß½ng pháp massage	Bí kíp võ công	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200223	Dß¾i ğây ai thuµc "Tam tài" là ai?	Nhân	Th¥n	Tiên	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	4
200224	Trong bát quái, quái tß¾ng tßşng trßng tr¶i là gì?	Càn	T¯n	Ğoài	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	4
200225	Trong bát quái, quái tß¾ng tßşng trßng ğ¤t là gì?	Khôn	Tr¤n	T¯n	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	4
200226	Trong bát quái, quái tß¾ng tßşng trßng lôi là gì?	Tr¤n	C¤n	Khäm	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	4
200227	Trong bát quái, quái tß¾ng tßşng trßng phong là gì?	T¯n	Ğoài	C¤n	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	4
200228	Trong bát quái, quái tß¾ng tßşng trßng thuÖ là gì?	Khäm	T¯n	Ğoài	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	4
200229	Trong bát quái, quái tß¾ng tßşng trßng hoä là gì?	Li	C¤n	Tr¤n	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	4
200230	Trong bát quái, quái tß¾ng tßşng trßng s½n là gì?	C¤n	Khäm	Ğoài	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	4
200231	Trong bát quái, quái tß¾ng tßşng trßng ğ¥m h° là gì?	Ğoài	Tr¤n	C¤n	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	4
200232	Tác ph¦m n±i tiªng "Hoài Nam TØ" viªt v« cái gì?	Khoa h÷c kÛ thu§t	Nhân vån xã hµi	Danh nhân truy«n kÏ	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200233	Tác giä "Hoài Nam tØ" là ai?	Lßu Bang	Lßu B¸	Lßu An	#	#	#	-1	-1	1	-1	-1	-1	TÕp ngh® bách khoa	3
200234	Dß½ng toÕi chï cái gì?	Kính lõm	Kính l°i	Kính râm	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200235	Quan ği¬m "nhân phø thiên s¯"	Ngu°n g¯c cüa con ngß¶i và vÕn v§t ğ«u gi¯ng nhau	Trong con ngß¶i có vû trø	M²i con ngß¶i khi sinh ra ğ«u có sñ x¡p xªp cüa tñ nhiên	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200236	Thiên hæu tÑ th¶i có hàm nghîa gì?	Tr¶i có gió, mßa, lÕnh, nóng	Mµt nåm có xuân, hÕ, thu, ğông	Phß½ng hß¾ng có ğông, tây, nam, b¡c	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200237	Trong các công cø dß¾i v§t døng ğo lß¶ng nào ĞÕi Ngu tr¸ thuÖ không dùng ğªn?	Cái thë	Com-pa	Chu¦n	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200238	C± ğÕi dùng gì ğ¬ v¨ hình tròn?	Com-pa	Thß¾c	Th×ng	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200239	C± ğÕi dùng gì ğ¬ v¨ hình vuông?	Com-pa	Thß¾c	Th×ng	#	#	#	-1	1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200240	C± ğÕi dùng gì ğ¬ v¨ ğß¶ng thÆng?	Thß¾c	Th×ng	Com-pa	#	#	#	-1	1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200241	Trung ğ°ng trß¶ng dã là ğ¸nh nghîa cüa nhà tß tß·ng n±i tiªng c± ğÕi trung qu¯c M£c tØ cho loÕi kÖ hà ğ° hình nào?	Hình vuông	Tam giác cân	Tròn	#	#	#	-1	-1	1	-1	-1	-1	TÕp ngh® bách khoa	3
200242	Tr¥n tØ tr¡c nh§t pháp là dùng ğ¬ tr¡c lßşng v« cái gì	Khoäng cách m£t tr¶i	Th¶i gian dài ng¡n	M£t tr¶i to nhö	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200243	Mâu hşp phß½ng cái là chï gì?	Mô hình KÖ hà	Mão	Ğ° ån v£t	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200244	Ai là ngß¶i ğ¥u tiên dùng phß½ng pháp kÖ hà ğ¬ chÑng minh ğ¸nh lı cÕnh ng¡n cÕnh dài cüa tam giác vuông?	Th¶i tam qu¯c Tri®u Säng cüa nß¾c Ngô	Th¶i tam qu¯c HÑa ChØ cüa nß¾c NguÜ	Th¶i tam qu¯c Trß½ng Phi cüa nß¾c Thøc	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200245	Lßu Huy tính ra giá tr¸ c§n cüa s¯ "Pi"	3.1414	3.1415	3.1416	#	#	#	-1	-1	1	-1	-1	-1	TÕp ngh® bách khoa	3
200246	Các phß½ng pháp toán dß¾i ğây, cách nào có th¬ tình ra s¯ "Pi"	Thu§t c¡t hình tròn	Thu§t thiên viên	Thu§t ch¤t ğ¯ng	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200247	Trong các phß½ng pháp toán dß¾i ğây, có th¬ tính phß½ng trình b§c cao (có s¯ mãol¾n h½n 2) mµt ¦n là loÕi nào?	Thu§t c¡t hình tròn	Thu§t thiên viên	Thu§t ch¤t ğ¯ng	#	#	#	-1	1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200248	Trong các phß½ng pháp toán dß¾i ğây, có th¬ tính t±ng các c¤p s¯ cµng cao c¤p là loÕi nào?	Thu§t c¡t hình tròn	Thu§t thiên viên	Thu§t ch¤t ğ¯ng	#	#	#	-1	-1	1	-1	-1	-1	TÕp ngh® bách khoa	3
200249	Chu B­ toán kinh là cu¯n sách n±i tiªng viªt v« phß½ng di®n nào?	Thiên vån h÷c	S¯ h÷c	Xem bói	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200250	Cách cüa T± xung tính ra s¯ "Pi" cüa hình tròn chính xác ğªn m¤y s¯ ğ¢ng sau "ph¦y"?	Sáu	Nåm	Bäy	#	#	#	1	-1	-1	-1	-1	-1	TÕp ngh® bách khoa	3
200251	Ğ¸a c¥u hình gì?	G¥n gi¯ng hình tròn	G¥n gi¯ng hình vuông	B¢ng phÆng	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200252	Ğßşc g÷i là t± cüa vÕn s½n là?	Cao nguyên BÕc M­ Nhi	Thái S½n	Tung S½n	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200253	H° gì mµt nØa là nß¾c ng÷t mµt nØa là nß¾c m£n?	H° Ba Nhî Ca Th§p	Tây H°	Nh¸ h°	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200254	Thành toái di®p n½i Lı BÕch sinh ra là · ğâu?	H° Ba Nhî Ca Th§p	Tây H°	Hà Giang	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	3
200255	Không phäi là TÑ ğÕi hà lßu cüa Trung Qu¯c là?	Áp Løc Giang	Trß¶ng Giang	Châu Giang	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200256	Ğµ dài cüa Trß¶ng Giang là bao nhiêu?	6300km	5500km	4370km	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	3
200257	Ğµ dài cüa Hoàng Hà là bao nhiêu?	5500km	6300km	4370km	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	3
200258	Ğµ dài cüa H¡c Long Giang là bao nhiêu?	4370km	5500km	6300km	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	3
200259	Ğµ dài cüa Châu Giang là bao nhiêu?	2200km	5500km	4370km	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	3
200260	Trß¶ng Giang ğ± ra bi¬n nào?	Ğông Häi	B¡c Häi	Bµt Häi	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200261	Hoàng Hà ğ± ra bi¬n nào?	Bµt Häi	B¡c Häi	Linh Ğinh Dß½ng	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200262	H¡c Long Giang ğ± ra bi¬n nào?	B¡c Häi	Bµt Häi	Linh Ğinh Dß½ng	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	3
200263	Châu Giang ğ± ra bi¬n nào?	Linh Ğinh Dß½ng	B¡c Häi	Bµt Häi	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	3
200264	Ğô thành nhà HÕ là?	An „p	Cäo Kinh	Hàm dß½ng	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200265	Ğô thành nhà Thß½ng là?	Tri«u Ca	LÕc Dß½ng	Cäo Kinh	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200266	Ğô thành	Cäo Kinh	Hàm dß½ng	LÕc Dß½ng	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200267	Ğô thành nhà Ğông Chu là?	LÕc Dß½ng	Trß¶ng An	Hàm dß½ng	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200268	Ğô thành nhà T¥n là?	Hàm dß½ng	Trß¶ng An	Thành Ğô	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200269	Ğô thành nhà Tây Hán là?	Trß¶ng An	LÕc Dß½ng	Kiªn Nghi®p	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200270	Ğô thành nhà Ğông Hán là?	LÕc Dß½ng	Thành Ğô	Kiªn Nghi®p	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200271	Ğô thành nhà NguÜ th¶i tam qu¯c là?	LÕc Dß½ng	Kiªn Nghi®p	Thành Ğô	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200272	Ğô thành nhà Thøc th¶i tam qu¯c là?	Thành Ğô	LÕc Dß½ng	Kiªn Nghi®p	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200273	Ğô thành nhà Ngô th¶i tam qu¯c là?	Kiªn Nghi®p	Nghi®p Thành	LÕc Dß½ng	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200274	Ğô thành nhà Tây T¤n là?	LÕc Dß½ng	Kiªn Khang	Cäo Kinh	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200275	Ğô thành nhà Ğông T¤n là?	Kiªn Khang	Trß¶ng An	Cäo Kinh	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200276	Ğô thành nhà Nam Tri«u T¯ng là?	Kiªn Khang	Trß¶ng An	Cäo Kinh	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200277	Ğô thành nhà Nam Tri«u T« là?	Kiªn Khang	Trß¶ng An	Cäo Kinh	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200278	Ğô thành nhà Nam Tri«u Lß½ng là?	Kiªn Khang	Trß¶ng An	Cäo Kinh	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200279	Ğô thành nhà Nam Tri«u Tr¥n là?	Kiªn Khang	Trß¶ng An	Cäo Kinh	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200280	Ğô thành nhà B¡c NguÜ là?	LÕc Dß½ng	Trß¶ng An	Nghi®p Thành	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200281	Ğô thành nhà Ğông Ngøy là?	Nghi®p Thành	Kiªn Nghi®p	Trß¶ng An	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200282	Ğô thành nhà B¡c T« là?	Nghi®p Thành	Kiªn Nghi®p	Trß¶ng An	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200283	Ğô thành nhà Tây Ngøy là?	Trß¶ng An	Kiªn Nghi®p	LÕc Dß½ng	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200284	Ğô thành nhà B¡c Chu là?	Trß¶ng An	Kiªn Nghi®p	LÕc Dß½ng	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200285	Ğô thành nhà TuÏ là?	ĞÕi Hßng	Kiªn Nghi®p	LÕc Dß½ng	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200286	Ğô thành nhà Ğß¶ng là?	Trß¶ng An	Kiªn Nghi®p	Thành Ğô	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200287	Ğô thành nhà H§u Lß½ng là?	Bi®n Lß½ng	Kiªn Khang	Lâm An	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200288	Ğô thành nhà H§u Ğß¶ng là?	LÕc Dß½ng	Khai Phong	Lâm An	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200289	Ğô thành cüa nhà H§u T¤n là?	Bi®n Lß½ng	Kiªn Khang	Lâm An	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200290	Ğô thành cüa nhà H§u Hán là?	Bi®n Lß½ng	Kiªn Khang	Lâm An	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200291	Ğô thành cüa nhà H§u Châu là?	Bi®n Lß½ng	Kiªn Khang	Lâm An	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200292	Ğô thành cüa nhà B¡c T¯ng là?	Khai Phong	LÕc Dß½ng	Lâm An	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200293	Ğô thành cüa nhà Nam T¯ng là?	Lâm An	LÕc Dß½ng	Khai Phong	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200294	Ğô thành cüa nß¾c Liêu là?	Hoàng Ğô	Thành ĞÕi Lı	Phü Hßng Khánh	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200295	Ğô thành cüa ĞÕi Lı là?	Thành ĞÕi Lı	Hoàng Ğô	Phü Hßng Khánh	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200296	Ğô thành cüa Tây HÕ là?	Phü Hßng Khánh	Thành ĞÕi Lı	Hoàng Ğô	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200297	VÕn lı trß¶ng thành có bao nhiêu c±ng trÕi?	Khoäng 200	Khoäng 300	Khoäng 400	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200298	Trß¶ng thành do ai xây dñng?	T¥n ThuÖ Hoàng	A TØ 	Kim Dung	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200299	Bát ĞÕt Lînh cüa Trß¶ng Thành N¢m · ğâu?	Huy®n Diên Khánh	Huy®n Ğông S½n	Thôn Lang S½n	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	4
200300	Bát ĞÕt Lînh có ğông tây hai cØa, cØa ğông là?	Cß Dung NgoÕi Tr¤n	B¡c Môn Toä Thßşc	Huy®n Diên Khánh	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	3
200301	Bát ĞÕt Lînh có ğông tây hai cØa, cØa tây là?	B¡c Môn Toä Thßşc	Cß Dung NgoÕi Tr¤n	Huy®n Diên Khánh	#	#	#	1	-1	-1	-1	-1	-1	Miên tú cØu châu	3
200302	Ngß¶i dám nói th§t, m¾i là _______	Trung thñc	Lß½ng thi®n	Th§t thà	#	#	#	1	-1	-1	-1	-1	-1	Tøc ngæ danh ngôn	3
200303	Tích nß¾c thành sông, tích thóc thành________	B°	Cây mÕ	Thuy«n	#	#	#	1	-1	-1	-1	-1	-1	Tøc ngæ danh ngôn	3
200304	Tính tính dùng dùng, Cä ğ¶i không _____	Cùng	Lo	M®t	#	#	#	1	-1	-1	-1	-1	-1	Tøc ngæ danh ngôn	3
200305	Cá c¤n cûng phäi giæ ____ ruµt	3 t¤c	3 phân	3 chï	#	#	#	1	-1	-1	-1	-1	-1	Tøc ngæ danh ngôn	3
200306	ChØi nhau không l¶i ğ©p, ____ nhau không quy«n t°i	Ğánh	C¥u	Ğ§p	#	#	#	1	-1	-1	-1	-1	-1	Tøc ngæ danh ngôn	3
200307	Không g£p núi cao, sao biªt ____	Ğ¤t b¢ng	Bi¬n rµng	Sông h°	#	#	#	1	-1	-1	-1	-1	-1	Tøc ngæ danh ngôn	3
200308	Không r¶i tay _____, không ngßng mi®ng hát	Quy«n	Chß½ng	Dao	#	#	#	1	-1	-1	-1	-1	-1	Tøc ngæ danh ngôn	3
200309	Cây cao nghìn _____, lá røng v« cµi	Trßşng	D£m	Nhçn	#	#	#	1	-1	-1	-1	-1	-1	Tøc ngæ danh ngôn	3
